name,yearpublished,minplayers,maxplayers,rating,designer,publisher
Incredible Expeditions  Quest for Atlantis,2015,1,5,5.777,Liz Spain,Voodoo Bunny Co. LLC
Munchkin Rick and Morty,2017,3,6,6.579,Casey Sershon,Steve Jackson Games
Pony Express,1991,2,6,5.262,Alan R. Moon,ABACUSSPIELE
Clash of Wills  Shiloh 1862,2012,2,2,6.681,Coleman Charlton,Mayfair Games
Nomad Gods,1977,2,5,7.161,Robert Corbett,Chaosium
Wembley,1952,3,8,6.106,Roger Heyworth,Ariel Productions Ltd
Sniper! (second edition),1986,2,2,6.845,Steve Winter,Hobby Japan
Brain Warp,1996,1,6,6.107,(Uncredited),Tiger Electronics
What's in Ned's Head?,2003,2,4,5.147,Emanuel Winston,Fundex
Final Act,2016,2,2,7.6,Sharon Katz,Tyto Games
Trivial Pursuit  Disney \u2013 The Animated Picture Edition,1999,2,32,5.211,(Uncredited),Hasbro
Apples to Apples to Go,2007,4,8,5.725,Matthew Kirby,Mattel
The Game of 49,2014,2,5,6.447,Mark Corsey,Breaking Games
Foodie Fight,2007,2,6,5.284,Joyce Lock,Chronicle Books
Skulk Hollow,2019,2,2,7.749,Eduardo Baraf,Pencil First Games
Hoppladi Hopplada!,2008,2,7,6.293,Markus Kropf,999 Games
Soundbytes,1995,3,0,7.5,(Uncredited),Wired Electronic Entertainment
Sentient,2017,2,4,7.29,J. Alex Kevern,Renegade Game Studios
Feurio!,2003,1,4,6.138,Heinrich Glumpler,Edition Erlku00f6nig
Cosmic Encounter  Expansion Set #7,1981,3,6,7.957,Bill Eberle,Eon
Streets of Stalingrad (third edition),2003,2,8,7.462,Dana Lombardy,L2 Design Group
Pocket Detective,2019,1,6,7.19,Yury Yamshchikov,Jet Games Studio
Phantom Fury,2011,1,1,7.407,Laurent Closier,Nuts! Publishing
Whoosh  Bounty Hunters,2017,2,8,6.324,Theo K. Mavraganis,Arclight
Texas Roll'Em,2005,2,6,5.278,Richard Borg,SimplyFun
Spirits!,2007,2,6,5.575,Reiner Knizia,ASYNCRON games
SilenZe  Zombie City,2019,2,6,6.547,David Vaquero,Tranjis Games
Tricky Safari,2010,2,4,6.167,Corn\\u00e9 van Moorsel,Cwali
Logan Stones,2008,2,2,5.765,John Yianni,Gen42 Games
Cir*Kis,2009,2,4,5.287,Phil Orbanes Sr.,Hasbro
BattleCON  Trials of Indines,2016,2,2,8.363,D. Brad Talton,Level 99 Games
Gangs of Britannia,2018,3,5,7.31,Daniel Feeny,(Self-Published)
Scene It? Disney Second Edition,2007,2,12,5.605,(Uncredited),Mattel
Lord of the Rings,2003,2,5,5.953,Reiner Knizia,999 Games
Cthulhu  Death May Die,2019,1,5,8.113,Rob Daviau,CMON Limited
Dragon Ball  Alla ricerca delle Sette Sfere,1998,3,5,5.667,Andrea Angiolino,Nexus Editrice
M\u00fcckenstich,1999,3,6,5.65,Martin Osteroth,Queen Games
Vigor Blokus,2005,2,2,6.85,Bernard Tavitian,(Unknown)
Challenge Yahtzee,1974,2,4,5.553,(Uncredited),E.S. Lowe
Cock Block,2018,2,4,5.672,Thierry Demers,Kevins Got A Gun
PanzerZug,1998,2,6,6.017,Max Michael,Winsome Games
Capo della Mafia,2017,3,7,6.013,Arjan van Houwelingen,999 Games
Airborne In Your Pocket,2019,1,4,6.471,Emmanuel Aquin,Word Forge Games
Beer Empire,2016,2,4,6.416,Filip G\\u0142owacz,Board&Dice
Winter Fury  The Battle of Tolvaj\u00e4rvi 1939,2001,2,2,5.892,Michael Bennighof,Avalanche Press Ltd.
Rossy\u00efa 1917,1995,2,5,7.28,Fran\\u00e7ois-Stanislas Thomas,Azure Wish Enterprise (AWE)
Intern,1979,2,4,4.246,Dr. Cliff Andrew,(Self-Published)
Port Royal,2000,3,4,6.195,Wolfgang Panning,Queen Games
Da geht was ab im Morgenland,1999,2,5,4.775,Mark Sienholz,Krimsus Krimskrams-Kiste
Mission Impractical,2016,3,5,6.841,Hilko Drude,Venneru00f8d Forlag AS
The Guru's Famous Baseball Game,2001,1,32,5.5,Craig Tomarkin,BaseballGuru.com
The Chronicles of Narnia The Lion,2005,0,4,4.562,Will Creech,Hasbro
Bid It,2003,2,6,5.413,Andy Daniel,Enginuity
Red Star \/ White Star,1972,2,2,5.679,Jim Dunnigan,SPI (Simulations Publications
Marvel Dice Masters  Guardians of the Galaxy,2017,2,2,8.133,Mike Elliott,WizKids
UNO House Rules,1998,2,10,5.523,(Uncredited),Mattel
The Magnates  A Game of Power,2014,2,5,6.746,Jaro Andruszkiewicz,Ediciones MasQueOca
The New Lindy Flying Game,1927,2,2,0.0,Paul K. Guillow,Nucraft Toys
Collide-O!,2004,2,5,5.125,Maureen Hiron,Offason
Suez '56  Anglo French Intervention in Egypt,2015,1,1,6.992,Joseph Miranda,Decision Games (I)
Robot Master,2008,1,4,6.356,Reiner Knizia,Cocktail Games
Karambolage,1995,2,4,6.117,Heinz Meister,HABA
Mao,0,3,20,5.658,(Uncredited),(Public Domain)
The Gothic Game,1992,2,8,6.572,Nigel Andrews,Tolmayax Games
Christmas Lights  A Card Game,2018,2,6,6.311,Christopher Chung,25th Century Games
Guns of August,2011,1,2,6.67,John Gorkowski,Worthington Games
Downtown,2013,2,4,6.329,Florian Racky,Racky Spiele
Ortus,2013,2,2,6.535,Joost Das,FableSmith
Aether Captains  Triad,2011,1,2,6.79,Todd Sanders,(Self-Published)
Initial D,2003,2,2,5.828,Dave Williams (II),Alderac Entertainment Group
Tintas,2016,2,2,7.688,Dieter Stein,Clemens Gerhards
Zombie Island,2014,1,4,5.581,Fran\\u00e7ois Valentyne,The Flux Capacity
The Great Pacific War,2003,2,5,6.682,Brian L. Knipple,Avalanche Press Ltd.
The Butterfly Garden,2016,2,6,6.816,Steve Finn,Dr. Finns Games
Brutality,2019,2,4,7.52,Stephan Frost,(Self-Published)
Pogs,1920,2,0,4.011,(Uncredited),(Public Domain)
Kerrunch,1991,2,2,5.553,Andy Jones,Games Workshop Ltd.
up N dn,2003,3,4,5.538,Ed Pegg,franjos Spieleverlag
Play To Become a Millionaire,1999,2,8,6.533,(Uncredited),Universal Games
BLURT! The Webster's Game of Word Racing,1999,3,12,5.552,Tim Walsh,Educational Insights
Le Mans,1961,1,12,6.409,Rodney Mudge,The Avalon Hill Game Co
Apotheca,2016,1,4,6.801,Andrew Federspiel,Knapsack Games
Alien Uprising,2014,3,5,6.181,Sean Brown,Mr. B Games
Oceans,2020,2,4,7.992,Nick Bentley,North Star Games
Zoo Break,2019,2,5,8.406,Alexa Forrester,Sunday Club Games
Halo Interactive Strategy Game,2008,2,10,4.942,(Uncredited),B1 Games
The Barons of Fyn,1994,2,6,5.348,Bruce Biskup,BoneGames
Battles of Trenton and Princeton,1976,2,2,7.0,D. Hoth,Oldenburg Grenadiers
Clusterfight!,2014,3,12,6.885,Sam Liberty,Game Salute
The Normandy Campaign,1983,2,2,6.523,Ben Knight,Game Designers Workshop
Big Money,2018,2,5,6.619,Prospero Hall,Ravensburger Spieleverlag GmbH
Clash of Giants,2001,2,2,6.913,Ted Raicer,GMT Games
Squint Junior,2004,3,8,5.966,Deborah Boss,Out of the Box Publishing
Inferno sugli Altipiani,2017,2,2,7.924,Andrea Brusati,Acies
Crusade  Lawrence Welk's All-Star ACS Kit,1967,2,5,0.0,(Uncredited),Games for Industry
Wilderness Empires,2015,1,4,7.143,Bill Molyneaux,Worthington Publishing
Four Tribes,2013,2,2,7.164,Jason Glover,Grey Gnome Games
Herr der Ziegen,2008,2,5,6.132,G\\u00fcnter Burkhardt,AMIGO
Enemy Action  Ardennes,2015,1,2,8.691,John H. Butterfield,Compass Games
Mini WWII,2018,2,4,7.206,Wei-Cheng Cheng,Formosa Force Games
Windschatten,2004,2,4,6.127,Till Meyer,Spieltrieb
Level Up,2008,2,6,5.665,(Uncredited),Asmodee
Spartacus  Crisis in the Roman Republic  80-71 B.C.,2008,2,2,6.647,John B. Firer,Compass Games
Rory's Story Cubes  Voyages,2011,1,12,6.593,Rory O\Connor,Asmodee
The Totally Insane Card Game,1993,3,12,5.913,Gary Fowler,Totally Insane Card Game Company
Antiques Roadshow  The Game,2000,2,4,4.21,(Uncredited),Hasbro
Rescue from the Hive,1981,1,2,5.725,Nick Karp,Encore (for boardgames)
Smarty Party!,2003,3,8,6.606,Pitt Crandlemire,R&R Games
Der Tiger ist los,1998,2,4,5.25,Edith Schlichting,AMIGO
Cluedo Suspect,2010,3,4,5.714,Children\s Games,Hasbro
Piranha Pedro,2004,2,6,6.242,Jens-Peter Schliemann,Asmodee
Sidereal Confluence  Trading and Negotiation in the Elysian Quadrant,2017,4,9,7.795,TauCeti Deichmann,WizKids
Tau Ceti  Planetary Crisis,2017,1,5,5.77,Joseph Pilkus,Outer Limit Games (II)
Big Monster,2018,2,6,7.378,Dimitri Perrier,Explor8
Wiochmen Wesele,2011,2,5,4.221,Marek Mydel,Kuu017ania Gier
1862,2000,4,7,7.233,Helmut Ohley,(Self-Published)
Gallipoli,2018,2,4,7.732,Geoffrey Phipps,GMT Games
Omaha Beachhead  Battle for the Bocage,1987,2,2,6.196,Joseph M. Balkoski,Victory Games (I)
Techno Bowl  Arcade Football Unplugged,2017,2,2,8.617,Brent Spivey,Bombshell Games
Einfach Genial  Das Kartenspiel,2008,2,4,5.791,Reiner Knizia,Bard Centrum Gier
Marvel Trivia Game,2001,2,6,4.906,(Uncredited),Cardinal
Bottles and Bins,1982,2,4,4.485,Walter Wolf Windisch,Ravensburger Spieleverlag GmbH
Marco Polo Expedition,2004,2,5,6.164,Reiner Knizia,Ravensburger Spieleverlag GmbH
Star Wars  Destiny,2016,2,2,7.621,Corey Konieczka,Fantasy Flight Games
The Valkyrie Incident,2013,2,2,6.553,John Clowdus,Small Box Games
BiberClan,2018,2,6,5.994,J\\u00f6rg von R\\u00fcden,999 Games
Marengo 1800,2000,2,2,7.425,Fr\\u00e9d\\u00e9ric Bey,Vae Victis
Harpoon (1st & 3rd edition),1981,2,2,6.365,Larry Bond,Adventure Games
Roma,2005,2,2,6.781,Stefan Feld,Queen Games
Tunisia II,2016,1,2,8.516,Dean Essig,Multi-Man Publishing
Loot Island,2017,2,5,6.578,Aaron Haag,Whats Your Game?
30 Seconds  Everyday Life,2017,3,28,7.259,Calie Esterhuyse,999 Games
Weapons & Warriors  Lashout Launcher Set,1994,2,2,5.55,(Uncredited),Pressman Toy Corp.
Void 1.1,2003,2,8,6.776,Mark Brendan,i-Kore Ltd.
Die die DIE,2017,2,5,7.452,Carlos Couto,Ace Studios
Hopple-Popple,1995,2,4,5.497,Heinz Meister,HABA
Black Stories  Dark Tales Edition,2015,2,99,6.081,Corinna Harder,Gen-X Games
Aachen  First to Fall,2010,1,2,6.204,Eric R. Harvey,Decision Games (I)
Teufel nochmal!,1988,3,4,5.091,Tom Schoeps,Piatnik
Tower Siege,2000,2,2,5.32,Nick Scott,Arcane Games
The Invasion of Russia (1812),2014,2,2,7.517,Stephen Pole,Europa Simulazioni
Neopets  Adventures in Neopia,2003,2,4,5.439,Carrie Clayburn,Milton Bradley
Rattaneer,2017,2,5,6.66,Hisashi Hayashi,OKAZU Brand
Crossword,1978,1,10,5.5,(Uncredited),MB Giochi
Wakanda Forever,2019,3,5,6.594,Nick Metzler,Spin Master Ltd.
Skunk,1953,2,8,5.673,(Uncredited),Lemeco
Johnny Reb,1983,0,0,6.8,John Hill (I),Adventure Games
High Five!,2010,2,4,4.734,Nils van Teijlingen,999 Games
Aloha,2005,2,5,5.427,Corn\\u00e9 van Moorsel,Cwali
Discoveries  The Journals of Lewis and Clark,2015,2,4,7.117,C\\u00e9drick Chaboussit,Ludonaute
Viticulture Essential Edition,2015,1,6,8.117,Morten Monrad Pedersen,Stonemaier Games
A Fistful of Penguins,2011,1,6,6.048,Jonathan Franklin,Wattsalpoag Games
Neptun,2014,3,5,6.559,Dirk Henn,Queen Games
Stuffed,2018,2,4,7.018,Jesse Labbe,Certifiable Studios
Street Fighter  The Miniatures Game,2018,2,6,8.987,Alex Tune,Jasco Games
Rebel Rails,2001,2,6,5.111,John Bohrer,Winsome Games
Overworld,2019,2,4,6.799,Nemo Rathwald,Magic Meeple Games
The Little Prince  Make Me a Planet,2013,2,5,6.92,Antoine Bauza,Ludonaute
1906 San Francisco,2018,2,4,7.365,Perepau Llistosella,Looping Games
Deckscape  Behind the Curtain,2019,1,6,7.119,Martino Chiacchiera,dV Giochi
Anachronism,2005,2,4,6.001,Michael A. Brown,The History Channel
Super PACS  The Game of Politics About the Game of Politics,2016,2,4,7.261,Brandon Patton,Merlin Pool Games
Dabble,2011,2,4,5.881,George Weiss,INI
Sunda to Sahul,2002,1,4,6.011,Don Bone,Sagacity Games
The Little Flower Shop,2018,1,4,6.916,Steve Finn,Dr. Finns Games
Pets,2012,2,5,5.994,Florian Racky,Nu00fcrnberger-Spielkarten-Verlag
Sheep,2012,2,2,6.994,N\\u00e9stor Romeral Andr\\u00e9s,Darmstadt spielt
Theseus  The Dark Orbit,2013,2,4,7.123,Micha\\u0142 Oracz,Portal Games
W\u00fcrfelwurst,2012,2,4,6.16,Markus Brand,KOSMOS
In Dubio Pro Reo,1995,4,8,5.0,Valentin Herman,Fanfor-Verlag
Age of Craft,2014,2,4,6.712,Toryo Hojo,Chicken Dice Games (u30c1u30adu30f3u30c0u30a4u30b9u30b2u30fcu30e0u30ba)
Word Perfect Junior,1988,1,2,4.532,(Uncredited),Editrice Giochi
Parthenon,1999,2,6,7.125,Jean du Po\\u00ebl,Historien Spiele Galerie (Historien Spielegalerie)
Doktor Schl\u00fcsselbart,2006,2,5,5.952,J\\u00fcrgen Then,Zoch Verlag
The Finnish Front,2009,2,2,6.71,Ty Bomba,Decision Games (I)
1001,2016,2,8,6.236,David Duperret,TIKI Editions Inc.
Blitzkrieg '41,1989,2,2,6.488,Ty Bomba,Kokusai-Tsushin Co.
Drakskatten,1983,2,6,4.427,Lars-\\u00c5ke Thor,Target Games
Spices of the World,1988,2,6,4.797,Rex A. Martin,The Avalon Hill Game Co
